# id	name	license	source	variants
app	Auriqo	GPL-3.0-or-later	https://github.com/Auriqo/Auriqo	all
libs.haze	Haze	Apache-2.0	https://github.com/chrisbanes/haze	all
libs.guava	Guava	Apache-2.0	https://github.com/google/guava	all
libs.coroutines.guava	Kotlin coroutines Guava	Apache-2.0	https://github.com/Kotlin/kotlinx.coroutines	all
libs.concurrent.futures	AndroidX Concurrent Futures	Apache-2.0	https://developer.android.com/jetpack/androidx/releases/concurrent	all
libs.activity	AndroidX Activity	Apache-2.0	https://developer.android.com/jetpack/androidx/releases/activity	all
libs.hilt.navigation	AndroidX Hilt Navigation Compose	Apache-2.0	https://developer.android.com/jetpack/androidx/releases/hilt	all
libs.datastore	AndroidX DataStore	Apache-2.0	https://developer.android.com/jetpack/androidx/releases/datastore	all
libs.compose.runtime	Jetpack Compose Runtime	Apache-2.0	https://developer.android.com/jetpack/androidx/releases/compose-runtime	all
libs.compose.foundation	Jetpack Compose Foundation	Apache-2.0	https://developer.android.com/jetpack/androidx/releases/compose-foundation	all
libs.compose.ui	Jetpack Compose UI	Apache-2.0	https://developer.android.com/jetpack/androidx/releases/compose-ui	all
libs.compose.ui.util	Jetpack Compose UI Util	Apache-2.0	https://developer.android.com/jetpack/androidx/releases/compose-ui	all
libs.compose.ui.tooling	Jetpack Compose UI Tooling	Apache-2.0	https://developer.android.com/jetpack/androidx/releases/compose-ui	all
libs.compose.animation	Jetpack Compose Animation Graphics	Apache-2.0	https://developer.android.com/jetpack/androidx/releases/compose-animation	all
libs.compose.reorderable	Compose Reorderable	Apache-2.0	https://github.com/Calvin-LL/ComposeReorderable	all
libs.viewmodel	AndroidX Lifecycle ViewModel	Apache-2.0	https://developer.android.com/jetpack/androidx/releases/lifecycle	all
libs.viewmodel.compose	AndroidX Lifecycle ViewModel Compose	Apache-2.0	https://developer.android.com/jetpack/androidx/releases/lifecycle	all
libs.lifecycle.process	AndroidX Lifecycle Process	Apache-2.0	https://developer.android.com/jetpack/androidx/releases/lifecycle	all
libs.material3	Material 3	Apache-2.0	https://developer.android.com/jetpack/androidx/releases/compose-material3	all
libs.androidx.adaptive	Material 3 Adaptive	Apache-2.0	https://developer.android.com/jetpack/androidx/releases/compose-material3-adaptive	all
libs.androidx.adaptive.layout	Material 3 Adaptive Layout	Apache-2.0	https://developer.android.com/jetpack/androidx/releases/compose-material3-adaptive	all
libs.androidx.adaptive.navigation	Material 3 Adaptive Navigation	Apache-2.0	https://developer.android.com/jetpack/androidx/releases/compose-material3-adaptive	all
libs.palette	AndroidX Palette	Apache-2.0	https://developer.android.com/jetpack/androidx/releases/palette	all
libs.materialKolor	MaterialKolor	Apache-2.0	https://github.com/jordond/MaterialKolor	all
libs.androidx.browser	AndroidX Browser	Apache-2.0	https://developer.android.com/jetpack/androidx/releases/browser	all
libs.appcompat	AndroidX AppCompat	Apache-2.0	https://developer.android.com/jetpack/androidx/releases/appcompat	all
libs.coil	Coil	Apache-2.0	https://github.com/coil-kt/coil	all
libs.coil.network.okhttp	Coil Network OkHttp	Apache-2.0	https://github.com/coil-kt/coil	all
